Hostname,Eth1IP
shared0-samkubeapi1-1-yul.ops.sfdc.net,10.169.2.5
shared0-samkubeapi1-2-yul.ops.sfdc.net,10.169.2.6
shared0-samkubeapi2-1-yul.ops.sfdc.net,10.169.2.7
shared0-samkubeapi2-2-yul.ops.sfdc.net,10.169.2.3
shared0-samkubeapi3-1-yul.ops.sfdc.net,10.169.2.4
shared0-samminiondatapool1-1-yul.ops.sfdc.net,10.169.1.132
shared0-samminiondatapool1-2-yul.ops.sfdc.net,10.169.1.131
shared0-samminiondatapool2-1-yul.ops.sfdc.net,10.169.1.133
shared0-samminiongater1-1-yul.ops.sfdc.net,10.169.6.10
shared0-samminiongater1-2-yul.ops.sfdc.net,10.169.6.6
shared0-samminiongater1-3-yul.ops.sfdc.net,10.169.6.12
shared0-samminiongater1-4-yul.ops.sfdc.net,10.169.6.8
shared0-samminiongater2-1-yul.ops.sfdc.net,10.169.6.3
shared0-samminiongater2-2-yul.ops.sfdc.net,10.169.6.7
shared0-samminiongater2-3-yul.ops.sfdc.net,10.169.6.4
shared0-samminiongater2-4-yul.ops.sfdc.net,10.169.6.11
shared0-samminiongater3-1-yul.ops.sfdc.net,10.169.6.13
shared0-samminiongater3-2-yul.ops.sfdc.net,10.169.6.9
shared0-samminiongater3-3-yul.ops.sfdc.net,10.169.6.5
shared0-samminionreportcollector1-1-yul.ops.sfdc.net,10.169.3.3
shared0-samminionreportcollector2-1-yul.ops.sfdc.net,10.169.3.5
shared0-samminionreportcollector3-1-yul.ops.sfdc.net,10.169.3.4
shared0-samminionwarden1-1-yul.ops.sfdc.net,10.169.4.3
shared0-samminionwarden2-1-yul.ops.sfdc.net,10.169.4.4
shared0-samminionwarden3-1-yul.ops.sfdc.net,10.169.4.5
