Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
samcaas1-caasminion1-1-par.ops.sfdc.net,10.249.136.66/29,10.214.72.32/27,b05-01,par-sp1-sam_caas,65009
samcaas1-caasminion1-2-par.ops.sfdc.net,10.249.136.114/29,10.214.73.32/27,k03-01,par-sp1-sam_caas,65009
samcaas1-caasminion1-3-par.ops.sfdc.net,10.249.136.67/29,10.214.72.64/27,b05-01,par-sp1-sam_caas,65009
samcaas1-caasminion1-4-par.ops.sfdc.net,10.249.136.90/29,10.214.72.96/27,b06-01,par-sp1-sam_caas,65009
samcaas1-caasminion1-5-par.ops.sfdc.net,10.249.184.2/29,10.214.74.128/27,j11-01,par-sp1-sam_caas,65009
samcaas1-caasminion1-6-par.ops.sfdc.net,10.249.184.10/29,10.214.74.32/27,b11-02,par-sp1-sam_caas,65009
samcaas1-caasminion1-7-par.ops.sfdc.net,10.249.184.18/29,10.214.75.64/27,m17-01,par-sp1-sam_caas,65009
samcaas1-caasminion1-8-par.ops.sfdc.net,10.249.184.26/29,10.214.73.64/27,a01-02,par-sp1-sam_caas,65009
samcaas1-caasminion1-9-par.ops.sfdc.net,10.249.184.34/29,10.214.74.96/27,e02-01,par-sp1-sam_caas,65009
samcaas1-caasminion2-1-par.ops.sfdc.net,10.249.136.74/29,10.214.72.128/27,b09-01,par-sp1-sam_caas,65009
samcaas1-caasminion2-2-par.ops.sfdc.net,10.249.136.106/29,10.214.73.0/27,k02-01,par-sp1-sam_caas,65009
samcaas1-caasminion2-3-par.ops.sfdc.net,10.249.136.75/29,10.214.72.160/27,b09-01,par-sp1-sam_caas,65009
samcaas1-caasminion2-4-par.ops.sfdc.net,10.249.184.42/29,10.214.73.160/27,a10-02,par-sp1-sam_caas,65009
samcaas1-caasminion2-5-par.ops.sfdc.net,10.249.184.50/29,10.214.73.224/27,b01-02,par-sp1-sam_caas,65009
samcaas1-caasminion2-6-par.ops.sfdc.net,10.249.184.58/29,10.214.74.64/27,d14-01,par-sp1-sam_caas,65009
samcaas1-caasminion2-7-par.ops.sfdc.net,10.249.184.43/29,10.214.73.192/27,a10-02,par-sp1-sam_caas,65009
samcaas1-caasminion2-8-par.ops.sfdc.net,10.249.184.51/29,10.214.74.0/27,b01-02,par-sp1-sam_caas,65009
samcaas1-caasminion2-9-par.ops.sfdc.net,10.249.136.107/29,10.214.75.32/27,k02-01,par-sp1-sam_caas,65009
samcaas1-caasminion3-1-par.ops.sfdc.net,10.249.136.82/29,10.214.72.0/27,a08-01,par-sp1-sam_caas,65009
samcaas1-caasminion3-2-par.ops.sfdc.net,10.249.136.100/29,10.214.72.224/27,j15-01,par-sp1-sam_caas,65009
samcaas1-caasminion3-3-par.ops.sfdc.net,10.249.136.122/29,10.214.72.192/27,j14-01,par-sp1-sam_caas,65009
samcaas1-caasminion3-4-par.ops.sfdc.net,10.249.136.123/29,10.214.74.160/27,j14-01,par-sp1-sam_caas,65009
samcaas1-caasminion3-5-par.ops.sfdc.net,10.249.136.83/29,10.214.73.96/27,a08-01,par-sp1-sam_caas,65009
samcaas1-caasminion3-6-par.ops.sfdc.net,10.249.136.98/29,10.214.74.224/27,j15-01,par-sp1-sam_caas,65009
samcaas1-caasminion3-7-par.ops.sfdc.net,10.249.136.124/29,10.214.74.192/27,j14-01,par-sp1-sam_caas,65009
samcaas1-caasminion3-8-par.ops.sfdc.net,10.249.136.84/29,10.214.73.128/27,a08-01,par-sp1-sam_caas,65009
samcaas1-caasminion3-9-par.ops.sfdc.net,10.249.136.99/29,10.214.75.0/27,j15-01,par-sp1-sam_caas,65009
samkingdomcaas0-caasminion1-1-par.ops.sfdc.net,10.249.132.204/29,10.214.104.0/27,j12-01,par-sam_kingdom_caas,65009
samkingdomcaas0-caasminion1-2-par.ops.sfdc.net,10.249.132.202/29,10.214.104.32/27,j12-01,par-sam_kingdom_caas,65009
samkingdomcaas0-caasminion2-1-par.ops.sfdc.net,10.249.132.195/29,10.214.104.160/27,n14-01,par-sam_kingdom_caas,65009
samkingdomcaas0-caasminion3-1-par.ops.sfdc.net,10.249.132.210/29,10.214.104.96/27,k09-01,par-sam_kingdom_caas,65009
