Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate,RemoteAs
samcaas2-caasminion1-1-prd.eng.sfdc.net,10.231.71.2/29,10.251.189.64/27,m31-02,prd-sp2-sam_caas,65009
samcaas2-caasminion1-2-prd.eng.sfdc.net,10.231.71.26/29,10.251.188.64/27,e35-02,prd-sp2-sam_caas,65009
samcaas2-caasminion1-3-prd.eng.sfdc.net,10.231.71.50/29,10.251.188.192/27,j08-02,prd-sp2-sam_caas,65009
samcaas2-caasminion1-4-prd.eng.sfdc.net,10.231.71.42/29,10.251.188.0/27,d06-02,prd-sp2-sam_caas,65009
samcaas2-caasminion1-5-prd.eng.sfdc.net,10.231.134.100/29,10.251.191.0/27,v10-02,prd-sp2-sam_caas,65009
samcaas2-caasminion1-6-prd.eng.sfdc.net,10.231.134.106/29,10.251.189.224/27,t07-02,prd-sp2-sam_caas,65009
samcaas2-caasminion1-7-prd.eng.sfdc.net,10.253.231.35/29,10.251.188.96/27,f34-02,prd-sp2-sam_caas,65009
samcaas2-caasminion1-8-prd.eng.sfdc.net,10.253.231.10/29,10.251.189.96/27,p04-02,prd-sp2-sam_caas,65009
samcaas2-caasminion2-1-prd.eng.sfdc.net,10.231.71.18/29,10.251.189.128/27,p31-02,prd-sp2-sam_caas,65009
samcaas2-caasminion2-2-prd.eng.sfdc.net,10.231.71.10/29,10.251.188.224/27,k08-02,prd-sp2-sam_caas,65009
samcaas2-caasminion2-3-prd.eng.sfdc.net,10.231.71.11/29,10.251.189.0/27,k08-02,prd-sp2-sam_caas,65009
samcaas2-caasminion2-4-prd.eng.sfdc.net,10.231.134.74/29,10.251.190.224/27,v09-02,prd-sp2-sam_caas,65009
samcaas2-caasminion2-5-prd.eng.sfdc.net,10.231.134.90/29,10.251.190.0/27,t10-02,prd-sp2-sam_caas,65009
samcaas2-caasminion2-6-prd.eng.sfdc.net,10.231.134.66/29,10.251.190.128/27,u07-02,prd-sp2-sam_caas,65009
samcaas2-caasminion2-7-prd.eng.sfdc.net,10.253.231.18/29,10.251.189.160/27,s03-02,prd-sp2-sam_caas,65009
samcaas2-caasminion2-8-prd.eng.sfdc.net,10.253.231.19/29,10.251.189.192/27,s03-02,prd-sp2-sam_caas,65009
samcaas2-caasminion2-9-prd.eng.sfdc.net,10.253.231.50/29,10.251.190.160/27,v03-02,prd-sp2-sam_caas,65009
samcaas2-caasminion3-1-prd.eng.sfdc.net,10.231.71.34/29,10.251.188.128/27,h38-02,prd-sp2-sam_caas,65009
samcaas2-caasminion3-2-prd.eng.sfdc.net,10.231.71.35/29,10.251.188.160/27,h38-02,prd-sp2-sam_caas,65009
samcaas2-caasminion3-3-prd.eng.sfdc.net,10.231.71.58/29,10.251.188.32/27,d38-02,prd-sp2-sam_caas,65009
samcaas2-caasminion3-4-prd.eng.sfdc.net,10.231.134.82/29,10.251.190.192/27,v07-02,prd-sp2-sam_caas,65009
samcaas2-caasminion3-5-prd.eng.sfdc.net,10.231.134.114/29,10.251.191.32/27,w03-02,prd-sp2-sam_caas,65009
samcaas2-caasminion3-6-prd.eng.sfdc.net,10.253.231.3/29,10.251.189.32/27,k23-02,prd-sp2-sam_caas,65009
samcaas2-caasminion3-7-prd.eng.sfdc.net,10.253.231.26/29,10.251.190.96/27,u04-02,prd-sp2-sam_caas,65009
samcaas2-caasminion3-8-prd.eng.sfdc.net,10.253.231.42/29,10.251.190.32/27,u03-02,prd-sp2-sam_caas,65009
samcaas2-caasminion3-9-prd.eng.sfdc.net,10.253.231.43/29,10.251.190.64/27,u03-02,prd-sp2-sam_caas,65009
shared0-samminiontnrpmerger1-1-prd.eng.sfdc.net,10.231.167.10/29,10.251.150.64/27,v06-02,prd-sam_tnrp_merger,65009
shared0-samminiontnrpmerger1-2-prd.eng.sfdc.net,10.231.167.2/29,10.251.150.32/27,v03-02,prd-sam_tnrp_merger,65009
shared0-samminiontnrpmerger1-3-prd.eng.sfdc.net,10.231.167.42/29,10.251.150.96/27,aa34-02,prd-sam_tnrp_merger,65009
shared0-samminiontnrpmerger2-1-prd.eng.sfdc.net,10.231.167.18/29,10.251.150.0/27,u04-02,prd-sam_tnrp_merger,65009
shared0-samminiontnrpmerger2-2-prd.eng.sfdc.net,10.231.167.26/29,10.251.150.128/27,b20-02,prd-sam_tnrp_merger,65009
shared0-samminiontnrpmerger2-3-prd.eng.sfdc.net,10.231.167.34/29,10.251.150.160/27,n09-02,prd-sam_tnrp_merger,65009
shared0-samminiontnrppromoter1-1-prd.eng.sfdc.net,10.231.167.66/29,10.251.154.32/27,v03-02,prd-sam_tnrp_promoter,65009
shared0-samminiontnrppromoter1-2-prd.eng.sfdc.net,10.231.167.74/29,10.251.154.64/27,v06-02,prd-sam_tnrp_promoter,65009
shared0-samminiontnrppromoter2-1-prd.eng.sfdc.net,10.231.167.82/29,10.251.154.0/27,u04-02,prd-sam_tnrp_promoter,65009
shared0-samminiontnrpsigner1-1-prd.eng.sfdc.net,10.231.167.138/29,10.251.172.64/27,v06-02,prd-sam_tnrp_signer,65009
shared0-samminiontnrpsigner1-2-prd.eng.sfdc.net,10.231.167.130/29,10.251.172.32/27,v03-02,prd-sam_tnrp_signer,65009
shared0-samminiontnrpsigner2-1-prd.eng.sfdc.net,10.231.167.146/29,10.251.172.0/27,u04-02,prd-sam_tnrp_signer,65009
shared0-samtwocompute1-1-prd.eng.sfdc.net,10.231.184.2/29,10.251.214.0/27,d38-02,prd-samtwo,65009
shared0-samtwocompute1-2-prd.eng.sfdc.net,10.231.184.34/29,10.251.214.64/27,q09-02,prd-samtwo,65009
shared0-samtwocompute2-1-prd.eng.sfdc.net,10.231.184.10/29,10.251.214.128/27,w03-02,prd-samtwo,65009
shared0-samtwokubeapi1-1-prd.eng.sfdc.net,10.231.184.26/29,10.251.214.96/27,p32-02,prd-samtwo,65009
shared0-samtwokubeapi1-2-prd.eng.sfdc.net,10.231.184.50/29,10.251.214.192/27,n09-02,prd-samtwo,65009
shared0-samtwokubeapi2-1-prd.eng.sfdc.net,10.231.184.18/29,10.251.214.160/27,w35-02,prd-samtwo,65009
shared0-samtwokubeapi2-2-prd.eng.sfdc.net,10.231.184.51/29,10.251.214.224/27,n09-02,prd-samtwo,65009
shared0-samtwokubeapi3-1-prd.eng.sfdc.net,10.231.184.42/29,10.251.214.32/27,m40-02,prd-samtwo,65009
shared0-slbtwominion1-1-prd.eng.sfdc.net,10.240.134.66/29,10.254.248.64/27,d24-02,prd-slbtwo,65009
