Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate
shared0-storageminionceph1-1-prd.eng.sfdc.net,10.231.172.18/28,10.251.204.192/27,e34-02,prd-sam_cephdev
shared0-storageminionceph1-2-prd.eng.sfdc.net,10.231.172.19/28,10.251.204.224/27,e34-02,prd-sam_cephdev
shared0-storageminionceph1-3-prd.eng.sfdc.net,10.231.172.2/28,10.251.205.224/27,n02-02,prd-sam_cephdev
shared0-storageminionceph1-4-prd.eng.sfdc.net,10.231.172.50/28,10.251.206.32/27,n07-02,prd-sam_cephdev
shared0-storageminionceph1-5-prd.eng.sfdc.net,10.231.172.3/28,10.251.206.0/27,n02-02,prd-sam_cephdev
shared0-storageminionceph1-6-prd.eng.sfdc.net,10.231.172.20/28,10.251.205.0/27,e34-02,prd-sam_cephdev
shared0-storageminionceph1-7-prd.eng.sfdc.net,10.231.172.51/28,10.251.206.64/27,n07-02,prd-sam_cephdev
shared0-storageminionceph2-1-prd.eng.sfdc.net,10.231.172.66/28,10.251.205.128/27,m31-02,prd-sam_cephdev
shared0-storageminionceph2-2-prd.eng.sfdc.net,10.231.172.67/28,10.251.205.160/27,m31-02,prd-sam_cephdev
shared0-storageminionceph2-3-prd.eng.sfdc.net,10.231.172.68/28,10.251.205.192/27,m31-02,prd-sam_cephdev
shared0-storageminionceph2-4-prd.eng.sfdc.net,10.231.172.114/28,10.251.206.96/27,n31-02,prd-sam_cephdev
shared0-storageminionceph2-5-prd.eng.sfdc.net,10.231.172.98/28,10.251.206.160/27,n41-02,prd-sam_cephdev
shared0-storageminionceph2-6-prd.eng.sfdc.net,10.231.172.99/28,10.251.206.192/27,n41-02,prd-sam_cephdev
shared0-storageminionceph2-7-prd.eng.sfdc.net,10.231.172.115/28,10.251.206.128/27,n31-02,prd-sam_cephdev
shared0-storageminionceph3-1-prd.eng.sfdc.net,10.231.172.34/28,10.251.204.0/27,b34-02,prd-sam_cephdev
shared0-storageminionceph3-2-prd.eng.sfdc.net,10.231.172.84/28,10.251.204.160/27,e06-02,prd-sam_cephdev
shared0-storageminionceph3-3-prd.eng.sfdc.net,10.231.172.35/28,10.251.204.32/27,b34-02,prd-sam_cephdev
shared0-storageminionceph3-4-prd.eng.sfdc.net,10.231.172.36/28,10.251.204.64/27,b34-02,prd-sam_cephdev
shared0-storageminionceph3-5-prd.eng.sfdc.net,10.231.172.82/28,10.251.204.96/27,e06-02,prd-sam_cephdev
shared0-storageminionceph3-6-prd.eng.sfdc.net,10.231.172.83/28,10.251.204.128/27,e06-02,prd-sam_cephdev
shared0-storageminioncephtwo1-1-prd.eng.sfdc.net,10.231.172.130/28,10.251.205.32/27,k22-02,prd-sam_cephdev
shared0-storageminioncephtwo1-2-prd.eng.sfdc.net,10.231.172.131/28,10.251.205.64/27,k22-02,prd-sam_cephdev
shared0-storageminioncephtwo1-3-prd.eng.sfdc.net,10.231.172.132/28,10.251.205.96/27,k22-02,prd-sam_cephdev
shared0-storageminionsfstoretwo1-1-prd.eng.sfdc.net,10.231.174.2/28,10.251.208.0/27,k22-02,prd-sam_sfstoredev
shared0-storageminionsfstoretwo1-2-prd.eng.sfdc.net,10.231.174.3/28,10.251.208.32/27,k22-02,prd-sam_sfstoredev
shared0-storageminionsfstoretwo1-3-prd.eng.sfdc.net,10.231.174.4/28,10.251.208.64/27,k22-02,prd-sam_sfstoredev
shared0-storageminionsfstoretwo1-4-prd.eng.sfdc.net,10.231.174.5/28,10.251.208.96/27,k22-02,prd-sam_sfstoredev
shared0-storageminionsfstoretwo1-5-prd.eng.sfdc.net,10.231.174.6/28,10.251.208.128/27,k22-02,prd-sam_sfstoredev
shared0-storageminionsfstoretwo1-6-prd.eng.sfdc.net,10.231.174.7/28,10.251.208.160/27,k22-02,prd-sam_sfstoredev
shared0-storageminionsfstoretwo1-7-prd.eng.sfdc.net,10.231.174.8/28,10.251.208.192/27,k22-02,prd-sam_sfstoredev
shared0-storageminionsfstoretwo1-8-prd.eng.sfdc.net,10.231.174.9/28,10.251.208.224/27,k22-02,prd-sam_sfstoredev
shared0-storagesamcompute1-1-prd.eng.sfdc.net,10.231.165.194/28,10.251.168.0/27,a08-02,prd-sam_storage
shared0-storagesamcompute1-2-prd.eng.sfdc.net,10.231.165.195/28,10.251.168.32/27,a08-02,prd-sam_storage
shared0-storagesamcompute1-3-prd.eng.sfdc.net,10.231.165.18/28,10.251.170.0/27,t10-02,prd-sam_storage
shared0-storagesamcompute1-4-prd.eng.sfdc.net,10.231.165.50/28,10.251.170.64/27,v10-02,prd-sam_storage
shared0-storagesamcompute1-5-prd.eng.sfdc.net,10.231.165.196/28,10.251.168.64/27,a08-02,prd-sam_storage
shared0-storagesamcompute1-6-prd.eng.sfdc.net,10.231.165.114/28,10.251.168.96/27,c01-02,prd-sam_storage
shared0-storagesamcompute2-1-prd.eng.sfdc.net,10.231.165.242/28,10.251.169.64/27,l41-02,prd-sam_storage
shared0-storagesamcompute2-2-prd.eng.sfdc.net,10.231.165.162/28,10.251.168.224/27,e07-02,prd-sam_storage
shared0-storagesamcompute2-3-prd.eng.sfdc.net,10.231.165.130/28,10.251.168.128/27,c02-02,prd-sam_storage
shared0-storagesamcompute2-4-prd.eng.sfdc.net,10.231.165.66/28,10.251.169.224/27,q07-02,prd-sam_storage
shared0-storagesamcompute2-5-prd.eng.sfdc.net,10.231.165.131/28,10.251.168.160/27,c02-02,prd-sam_storage
shared0-storagesamcompute2-6-prd.eng.sfdc.net,10.231.165.82/28,10.251.169.160/27,p09-02,prd-sam_storage
shared0-storagesamcompute3-1-prd.eng.sfdc.net,10.231.165.100/28,10.251.168.192/27,e06-02,prd-sam_storage
shared0-storagesamcompute3-2-prd.eng.sfdc.net,10.231.165.178/28,10.251.170.160/27,w32-02,prd-sam_storage
shared0-storagesamcompute3-3-prd.eng.sfdc.net,10.231.165.226/28,10.251.170.128/27,w06-02,prd-sam_storage
shared0-storagesamcompute3-4-prd.eng.sfdc.net,10.231.165.210/28,10.251.169.192/27,p32-02,prd-sam_storage
shared0-storagesamcompute3-5-prd.eng.sfdc.net,10.231.165.146/28,10.251.169.96/27,p03-02,prd-sam_storage
shared0-storagesamkubeapi1-1-prd.eng.sfdc.net,10.231.165.147/28,10.251.169.128/27,p03-02,prd-sam_storage
