Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate
samcaas1-caasminion1-1-iad.ops.sfdc.net,10.222.211.66/29,10.213.132.128/27,j05-02,iad-sp1-sam_caas
samcaas1-caasminion1-2-iad.ops.sfdc.net,10.222.211.106/29,10.213.132.32/27,d03-02,iad-sp1-sam_caas
samcaas1-caasminion1-3-iad.ops.sfdc.net,10.222.211.74/29,10.213.132.160/27,j06-02,iad-sp1-sam_caas
samcaas1-caasminion1-4-iad.ops.sfdc.net,10.222.211.82/29,10.213.132.192/27,j08-02,iad-sp1-sam_caas
samcaas1-caasminion2-1-iad.ops.sfdc.net,10.222.211.90/29,10.213.132.224/27,j09-02,iad-sp1-sam_caas
samcaas1-caasminion2-2-iad.ops.sfdc.net,10.222.211.91/29,10.213.133.0/27,j09-02,iad-sp1-sam_caas
samcaas1-caasminion2-3-iad.ops.sfdc.net,10.222.211.100/29,10.213.132.0/27,d02-02,iad-sp1-sam_caas
samcaas1-caasminion3-1-iad.ops.sfdc.net,10.222.211.114/29,10.213.132.64/27,d09-02,iad-sp1-sam_caas
samcaas1-caasminion3-2-iad.ops.sfdc.net,10.222.211.122/29,10.213.132.96/27,d10-02,iad-sp1-sam_caas
samcaas1-caasminion3-3-iad.ops.sfdc.net,10.222.211.123/29,10.213.133.32/27,d10-02,iad-sp1-sam_caas
samcaas2-caasminion1-1-iad.ops.sfdc.net,10.222.223.170/29,10.213.148.192/27,j09-02,iad-sp2-sam_caas
samcaas2-caasminion1-2-iad.ops.sfdc.net,10.222.223.178/29,10.213.148.96/27,d10-02,iad-sp2-sam_caas
samcaas2-caasminion1-3-iad.ops.sfdc.net,10.222.223.130/29,10.213.148.224/27,j10-03,iad-sp2-sam_caas
samcaas2-caasminion1-4-iad.ops.sfdc.net,10.222.223.131/29,10.213.149.0/27,j10-03,iad-sp2-sam_caas
samcaas2-caasminion2-1-iad.ops.sfdc.net,10.222.223.138/29,10.213.148.0/27,b10-01,iad-sp2-sam_caas
samcaas2-caasminion2-2-iad.ops.sfdc.net,10.222.223.139/29,10.213.148.32/27,b10-01,iad-sp2-sam_caas
samcaas2-caasminion2-3-iad.ops.sfdc.net,10.222.223.186/29,10.213.149.32/27,j18-01,iad-sp2-sam_caas
samcaas2-caasminion3-1-iad.ops.sfdc.net,10.222.223.162/29,10.213.148.64/27,c10-01,iad-sp2-sam_caas
samcaas2-caasminion3-2-iad.ops.sfdc.net,10.222.223.154/29,10.213.148.160/27,j05-02,iad-sp2-sam_caas
samcaas2-caasminion3-3-iad.ops.sfdc.net,10.222.223.146/29,10.213.148.128/27,g11-03,iad-sp2-sam_caas
sfstorezk0-dnds1-1-iad.ops.sfdc.net,10.222.229.194/29,10.213.156.192/27,g14-02,iad-sam_sfstore
sfstorezk0-dnds1-2-iad.ops.sfdc.net,10.222.229.202/29,10.213.156.128/27,g11-03,iad-sam_sfstore
sfstorezk0-dnds2-1-iad.ops.sfdc.net,10.222.229.234/29,10.213.156.0/27,c11-01,iad-sam_sfstore
shared0-samcompute1-1-iad.ops.sfdc.net,10.222.222.18/28,10.213.130.64/27,d10-02,iad-sam
shared0-samcompute1-2-iad.ops.sfdc.net,10.222.222.34/28,10.213.130.128/27,d12-02,iad-sam
shared0-samcompute2-1-iad.ops.sfdc.net,10.222.222.10/28,10.213.130.0/27,d09-02,iad-sam
shared0-samkubeapi1-1-iad.ops.sfdc.net,10.222.222.19/28,10.213.130.96/27,d10-02,iad-sam
shared0-samkubeapi2-1-iad.ops.sfdc.net,10.222.222.11/28,10.213.130.32/27,d09-02,iad-sam
shared0-samkubeapi3-1-iad.ops.sfdc.net,10.222.222.35/28,10.213.130.160/27,d12-02,iad-sam
shared0-samminionatlasdir1-1-iad.ops.sfdc.net,10.222.223.106/29,10.213.142.64/27,j10-03,iad-sam_cloudatlas_dir
shared0-samminionatlasdir1-2-iad.ops.sfdc.net,10.222.223.100/29,10.213.142.0/27,b10-01,iad-sam_cloudatlas_dir
shared0-samminionatlasdir2-1-iad.ops.sfdc.net,10.222.223.114/29,10.213.142.32/27,g11-03,iad-sam_cloudatlas_dir
shared0-samminionatlasfe1-1-iad.ops.sfdc.net,10.222.223.66/29,10.213.140.0/27,b10-01,iad-sam_cloudatlas
shared0-samminionatlasfe2-1-iad.ops.sfdc.net,10.222.223.74/29,10.213.140.32/27,j10-03,iad-sam_cloudatlas
shared0-samminionceph1-1-iad.ops.sfdc.net,10.222.244.226/28,10.208.87.224/27,h07-02,iad-sam_ceph
shared0-samminionceph1-10-iad.ops.sfdc.net,10.222.241.2/28,10.208.82.96/27,b08-03,iad-sam_ceph
shared0-samminionceph1-11-iad.ops.sfdc.net,10.222.241.50/28,10.208.88.0/27,h09-02,iad-sam_ceph
shared0-samminionceph1-12-iad.ops.sfdc.net,10.222.241.178/28,10.208.81.32/27,a09-02,iad-sam_ceph
shared0-samminionceph1-13-iad.ops.sfdc.net,10.222.244.130/28,10.208.81.96/27,a15-02,iad-sam_ceph
shared0-samminionceph1-14-iad.ops.sfdc.net,10.222.240.146/28,10.208.85.64/27,e14-02,iad-sam_ceph
shared0-samminionceph1-15-iad.ops.sfdc.net,10.222.240.114/28,10.208.86.0/27,f06-01,iad-sam_ceph
shared0-samminionceph1-16-iad.ops.sfdc.net,10.222.240.178/28,10.208.86.224/27,g11-03,iad-sam_ceph
shared0-samminionceph1-17-iad.ops.sfdc.net,10.222.241.51/28,10.208.88.32/27,h09-02,iad-sam_ceph
shared0-samminionceph1-18-iad.ops.sfdc.net,10.222.244.82/28,10.208.80.96/27,a05-02,iad-sam_ceph
shared0-samminionceph1-19-iad.ops.sfdc.net,10.222.241.66/28,10.208.80.0/27,a02-02,iad-sam_ceph
shared0-samminionceph1-2-iad.ops.sfdc.net,10.222.240.226/28,10.208.88.224/27,j14-02,iad-sam_ceph
shared0-samminionceph1-20-iad.ops.sfdc.net,10.222.240.227/28,10.208.89.0/27,j14-02,iad-sam_ceph
shared0-samminionceph1-21-iad.ops.sfdc.net,10.222.240.179/28,10.208.87.0/27,g11-03,iad-sam_ceph
shared0-samminionceph1-22-iad.ops.sfdc.net,10.222.240.162/28,10.208.82.192/27,b09-02,iad-sam_ceph
shared0-samminionceph1-23-iad.ops.sfdc.net,10.222.244.178/28,10.208.81.128/27,a16-02,iad-sam_ceph
shared0-samminionceph1-24-iad.ops.sfdc.net,10.222.244.34/28,10.208.81.64/27,a13-02,iad-sam_ceph
shared0-samminionceph1-25-iad.ops.sfdc.net,10.222.241.67/28,10.208.80.32/27,a02-02,iad-sam_ceph
shared0-samminionceph1-3-iad.ops.sfdc.net,10.222.241.114/28,10.208.80.224/27,a08-03,iad-sam_ceph
shared0-samminionceph1-4-iad.ops.sfdc.net,10.222.240.115/28,10.208.86.32/27,f06-01,iad-sam_ceph
shared0-samminionceph1-5-iad.ops.sfdc.net,10.222.240.147/28,10.208.85.96/27,e14-02,iad-sam_ceph
shared0-samminionceph1-6-iad.ops.sfdc.net,10.222.241.115/28,10.208.81.0/27,a08-03,iad-sam_ceph
shared0-samminionceph1-7-iad.ops.sfdc.net,10.222.240.163/28,10.208.82.224/27,b09-02,iad-sam_ceph
shared0-samminionceph1-8-iad.ops.sfdc.net,10.222.241.3/28,10.208.82.128/27,b08-03,iad-sam_ceph
shared0-samminionceph1-9-iad.ops.sfdc.net,10.222.241.194/28,10.208.86.192/27,g10-02,iad-sam_ceph
shared0-samminionceph2-1-iad.ops.sfdc.net,10.222.240.34/28,10.208.80.160/27,a07-03,iad-sam_ceph
shared0-samminionceph2-10-iad.ops.sfdc.net,10.222.240.194/28,10.208.88.64/27,h15-02,iad-sam_ceph
shared0-samminionceph2-11-iad.ops.sfdc.net,10.222.244.66/28,10.208.84.192/27,c17-03,iad-sam_ceph
shared0-samminionceph2-12-iad.ops.sfdc.net,10.222.241.82/28,10.208.88.128/27,j10-02,iad-sam_ceph
shared0-samminionceph2-13-iad.ops.sfdc.net,10.222.240.2/28,10.208.85.192/27,f05-01,iad-sam_ceph
shared0-samminionceph2-14-iad.ops.sfdc.net,10.222.240.50/28,10.208.86.64/27,f11-01,iad-sam_ceph
shared0-samminionceph2-15-iad.ops.sfdc.net,10.222.240.3/28,10.208.85.224/27,f05-01,iad-sam_ceph
shared0-samminionceph2-16-iad.ops.sfdc.net,10.222.244.2/28,10.208.82.160/27,b09-03,iad-sam_ceph
shared0-samminionceph2-17-iad.ops.sfdc.net,10.222.240.82/28,10.208.86.128/27,f12-01,iad-sam_ceph
